[   0.0 ->    7.9]  ...принадлежит рациональным числам в отрезке минус 1 метр, то есть это минус 1 метр, пересечение с рациональным числом.
[   9.5 ->   17.6]  И тогда получается, что каждое из этих множеств обоих, оно будет не пересекаться в предыдущем.
[  18.2 ->   19.6]  То есть если у нас есть...
[  19.6 ->   28.0]  Потому что мы добавили рациональный, да, там у нас пересечение с ху-2, оно должно быть равно с уставом на множество.
[  28.0 ->   44.4]  Вот, ну и само, сейчас, получается, если мы рассмотрим все такие множества, то их количество будет счетно, потому что мы сдвигали на рациональные точки.
[  45.1 ->   51.9]  И получается, если мы рассмотрим такое непересекающееся объединение по всем рациональным точкам,
[  51.9 ->   71.6]  то окажется, что оно вложено, в него, точнее, вложено отрезок 0.1, то есть оно полностью перекроет отрезок 0.1, вот.
[  72.3 ->   73.8]  Но это тоже надо доказать, доказывать или нет?
[  74.0 ->   75.3]  Ну, нет, просто идти.
[  75.3 ->   76.3]  Вот, ну, это...
[  76.9 ->   81.9]  Короче, это тоже несложно доказывать, если мы отсюда точку X берем, она обязательно попадет в какой-то вот из таких вот множеств.
[  81.9 ->   87.0]  Ну, и очевидным образом, куда мы можем попасть максимум?
[  87.0 ->   92.5]  Мы можем вот эту точку сдвинуть на самое маленькое рациональное число зашпотрезком минус 1.
[  93.1 ->   98.4]  То есть попадем в минус 1 правильно, а точку 1 сдвигаем на самое большое, и в 2 попадаем.
[  98.9 ->   99.4]  Справедливо?
[ 100.5 ->  101.6]  Красивая, да, справедливо.
[1131.7 -> 1134.6]  Итак, вернёмся, так сказать, в русло курса.
[1135.1 -> 1135.9]  Продолжаем.
[1136.2 -> 1138.3]  Мера любега на плоскости.
[1138.6 -> 1140.4]  Мы рассмотрели одномерный случай.
[1140.4 -> 1143.3]  Теперь мера любега на плоскости.
[1143.6 -> 1147.1]  То есть продолжение на случай R2.
[1147.7 -> 1150.1]  Это тоже частный случай общей теории.
[1151.7 -> 1154.4]  В качестве х мы рассматриваем R2.
[1154.7 -> 1161.7]  В качестве кольца элементарных множеств рассматриваем всевозможные конечные объединения
[1161.7 -> 1167.1]  прямоугольников со сторонами параллельными осям координатами.
[1168.4 -> 1170.8]  И от 1 до некоторого n.
[1172.7 -> 1178.0]  Поскольку всегда такую фигуру можно перестроить до непересекающихся прямоугольников,
[1178.2 -> 1181.0]  то мы сразу считаем, что они не пересекаются.
[1181.0 -> 1188.2]  И тогда, если это множество A, на этом прямоугольнике вводится функция,
[1188.4 -> 1190.6]  которая эквивалентна обычной площади.
[1191.8 -> 1193.6]  Сумма по всем G.
[1194.5 -> 1195.8]  СЖТ.
[1196.6 -> 1198.9]  ДЖТ минус СЖТ.
[1199.7 -> 1204.4]  То есть для вот такого многоугольника вводим такую функцию.
[1205.1 -> 1207.3]  Она является аддитивной.
[1207.4 -> 1209.5]  Её можно продолжить для сигмоаддитивной.
[1209.5 -> 1213.0]  И в целом по общей процедуре продолжения меры
[1213.0 -> 1217.0]  распространить это понятие площади на более широкий класс фигур
[1217.0 -> 1221.4]  через предельный переход и всевозможные счётные объединения.
[1222.9 -> 1229.4]  В результате, что мы собственно получим?
[1230.4 -> 1232.6]  По аналогии с одномерным случаем.
[1232.7 -> 1235.9]  Любое пустое R2 самоизмеримо.
[1238.5 -> 1240.7]  Любое открытое множество.
[1240.7 -> 1246.5]  Любое замкнутое множество тоже измеримо.
[1249.7 -> 1254.4]  И всё, что можно получить из открытых замкнутых счётными объединениями,
[1255.0 -> 1259.0]  разностями, переключениями, всё тоже будет давать измеримые множества.
[1259.0 -> 1263.7]  То есть, как и в одномерном случае, класс таких множеств широк.
[1264.6 -> 1270.3]  Но, как и в одномерном случае, существуют неизмеримые подмножества.
[1270.6 -> 1272.3]  А R2 почему измеримо?
[1272.6 -> 1273.5]  Вся плоскость?
[1273.6 -> 1273.8]  Да.
[1273.8 -> 1280.5]  Ну, её можно представить как счётное объединение квадратиков единичной площади.
[1280.5 -> 1288.9]  Всё плоскость, можешь порезать на единичные квадраты, и будет счётное число, и всё R2, есть их объединение.
[1289.7 -> 1292.5]  То есть, объединение счётное элементарных множеств.
[1292.8 -> 1293.8]  Значит, измеримо.
[1296.4 -> 1296.6]  Да?
[1297.2 -> 1298.3]  Ну да, в счётное же будет.
[1298.5 -> 1302.6]  Ну и в счётное, если мы по целым координатам взбьём, то в счётное.
[1302.6 -> 1310.0]  Вот такое множество измеримо имеет нулевую меру.
[1310.2 -> 1314.8]  То есть, произведение деканта множества точек, имеющих оберациональные координаты.
[1315.6 -> 1316.5]  Почему измеримо?
[1317.5 -> 1318.8]  Потому что оно счётное.
[1319.5 -> 1323.1]  А мера одноточечного множества на плоскости будет нулевая.
[1324.2 -> 1327.2]  Доказывается это, на практике, возможно, доказывали.
[1327.3 -> 1331.4]  Мы можем любую точку заключить в систему стягивающихся квадратиков
[1331.4 -> 1334.0]  и получить, что в пределе это будет ноль.
[1334.4 -> 1338.5]  Таким образом, любое одноточечное измеримо.
[1339.0 -> 1341.4]  Ну а значит, любое счётное тоже измеримо.
[1342.0 -> 1344.3]  Мера будет у любого счётного ноль.
[1346.3 -> 1352.2]  Ну и дальше можно пользоваться какими-то свойствами, связанными с совочетанием и так далее.
[1352.3 -> 1353.6]  Вот такое множество.
[1354.7 -> 1355.4]  Q на R.
[1356.7 -> 1358.2]  Счётная, несчётная.
[1358.2 -> 1360.2]  Несчётная мера.
[1362.2 -> 1363.6]  Измеримо, неизмеримо?
[1365.9 -> 1366.5]  Измеримо.
[1366.5 -> 1367.6]  Мера какая будет?
[1371.5 -> 1373.8]  Ну что оно геометрически из себя представляет?
[1376.2 -> 1377.5]  Это набор...
[1377.5 -> 1381.2]  По х у нас рациональные координаты, по у любые.
[1381.3 -> 1384.6]  То есть это счётный набор параллельных прямых.
[1384.9 -> 1385.3]  Вот такие.
[1386.3 -> 1388.4]  Счётный, потому что у нас Q счётно.
[1388.4 -> 1393.8]  того множество именно из счётного числа прямых состоит.
[1393.8 -> 1396.4]  Целое множество не счётное, но его можно разбить.
[1399.2 -> 1402.1]  Счётное число прямых.
[1402.5 -> 1404.4]  Каждая прямая какую меру имеете?
[1404.4 -> 1405.3]  Ноль.
[1405.3 -> 1405.4]  Ноль, да.
[1405.9 -> 1413.5]  А, соответственно, тогда это множество, и есть счётное объединение множеств нулевой меры, значит, его мера тоже будет ноль.
[1415.5 -> 1416.2]  Ну и так далее.
[1416.7 -> 1420.0]  Счётность позволяет многие свойства обобщать.
[1420.0 -> 1429.9]  Ну и в целом мы можем получить измеримость достаточно большого класса множеств, но, тем не менее, неизмеримое множество здесь тоже существует.
[1430.0 -> 1432.5]  Так можно строить умнологии с кем-кучием.
[1435.5 -> 1440.3]  Давайте на этом мы теорию меры будем считать построенной.
[1440.4 -> 1444.3]  То есть в дальнейшем будем рассматривать случаи одномерные и иногда двумя.
[1444.8 -> 1450.6]  На самом деле, как я уже говорила, процесс продолжения зависит от того, какую функцию мы взяли.
[1450.6 -> 1456.3]  Есть так называемые меры лебегаститиса, когда берутся функции определённого свойства.
[1457.0 -> 1459.0]  И теория эта очень обширна.
[1459.1 -> 1462.7]  Если в неё погружаться, то можно там на самом деле и остаться на всю жизнь.
[1463.0 -> 1467.6]  В плане того, что там есть очень сложные вещи для понимания поначалу.
[1468.4 -> 1472.6]  В целом много работ на эту тему за последние 150 лет вышло.
[1473.5 -> 1477.0]  Ну и такой достаточно абстрактный момент.
[1477.0 -> 1480.5]  Есть абстрактное продолжение на абстрактное пространство.
[1481.2 -> 1486.7]  Но в рамках функционального анализа мне нужна именно длина продолжения и продолжение площади.
[1487.9 -> 1494.6]  Поэтому напомню, что мы вообще хотим обобщить интеграл на более широкий класс множества, на более широкий класс функций.
[1494.7 -> 1496.6]  Поэтому перейдём теперь к функциям.
[1496.6 -> 1510.3]  Итак, будем предполагать, что у нас есть некоторое сигма-кольцо уже измеримых множеств.
[1510.3 -> 1518.4]  Сигма-кольцо измеримых множеств.
[1518.7 -> 1523.5]  В целом мы будем работать в R1 или R2, но это сейчас будет общее определение.
[1524.0 -> 1528.8]  И есть мера, которая на этом конце задана.
[1528.8 -> 1539.4]  Пусть А это у нас некоторое множество из кольца К.
[1539.4 -> 1558.2]  Функция F, определенная на множестве А со значениями V1, где А измеримое множество.
[1558.2 -> 1574.0]  Функция F из АВ, где А измеримое, называется измеримое.
[1574.0 -> 1596.2]  Функция F из АВ называется измеримой, если для любых А и В прообраз интервала АВ.
[1596.2 -> 1608.1]  Ну а прообраз это у нас есть множество таких х из области определения, для которых f от х меньше, чем В и больше, чем А.
[1608.1 -> 1617.0]  Вот, для любых А и В меньше, в другом порядке, прообраз интервала АВ измеримый.
[1617.8 -> 1619.3]  А меньше В, да?
[1619.9 -> 1621.2]  Ну да, чтобы интервал был.
[1622.8 -> 1634.1]  Значит, еще раз, функция называется измеримой, если для любых чисел АВ, таких что А меньше В, прообраз интервала АВ измеримый.
[1634.1 -> 1650.2]  Ну, то есть, для того, чтобы проверить измеримость функции, давайте я нарисую какой-нибудь простой случай, что нам нужно сделать.
[1650.3 -> 1662.1]  Нам нужно взять интервал АВ и, двигая его по оси Y, для каждого такого возможного интервала найти прообраз и убедиться, что он является измеримым множеством.
[1662.1 -> 1666.7]  Определение общее, и в нем содержатся два параметра.
[1667.3 -> 1672.8]  Но с двумя параметрами не совсем удобно работать, поэтому справедливо такое подтверждение.
[1675.0 -> 1677.5]  Следующее условие эквивалентны.
[1681.9 -> 1684.7]  Следующее условие эквивалентны.
[1688.3 -> 1689.0]  Первое.
[1689.4 -> 1690.2]  f измерима.
[1695.2 -> 1695.9]  Второе.
[1696.2 -> 1700.3]  Так, в каком порядке, как у меня было.
[1700.3 -> 1712.7]  Для любых А и В, прообраз АВ замкнутая, измерим.
[1713.2 -> 1715.9]  Третье.
[1716.9 -> 1718.9]  Для любых А меньше В.
[1719.7 -> 1724.6]  Прообраз замкнутого отрезка, измерим.
[1727.6 -> 1728.7]  Четвертое.
[1729.5 -> 1731.7]  Для любых А меньше В.
[1731.7 -> 1743.3]  Здесь круглая, здесь квадратная, здесь круглая скубочка, измерим.
[1747.9 -> 1748.9]  Пятое.
[1750.3 -> 1758.0]  Для любого С, прообраз С плюс бесконечность, измерим.
[1760.8 -> 1761.7]  Шестое.
[1761.7 -> 1771.4]  Для любого С, прообраз С плюс бесконечность, измерим.
[1774.4 -> 1775.1]  Седьмое.
